model number,machine code,Description,Is IDU,Price,AHRI,EER,SEER,HSPF,EER2,SEER2,HSPF2-4,HSPF2-5,Btu@95min,Btu@95rated,Btu@95max,kW@95min,kW@95rated,kW@95max,COP@95min,COP@95rated,COP@95max,Btu@82min,Btu@82rated,Btu@82max,kW@82min,kW@82rated,kW@82max,COP@82min,COP@82rated,COP@82max,Btu@47min,Btu@47rated,Btu@47max,kW@47min,kW@47rated,kW@47max,COP@47min,COP@47rated,COP@47max,Btu@17min,Btu@17rated,Btu@17max,kW@17min,kW@17rated,kW@17max,COP@17min,COP@17rated,COP@17max,Btu@5min,Btu@5rated,Btu@5max,kW@5min,kW@5rated,kW@5max,COP@5min,COP@5rated,COP@5max,Btu@lowest min,Btu@lowest rated,Btu@lowest max,kW@lowest min,kW@lowest rated,kW@lowest max,COP@lowest min,COP@lowest rated,COP@lowest max,lowest temperature
KW12HQ19SDO,1219O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 12k BTU,0,401.5,212396483,8.70 ,17.50 ,8.50 ,8.70 ,17.50 ,8.50 ,7.20 ,2400.00 ,12000.00 ,13300.00 ,0.18 ,1.38 ,1.50 ,3.91 ,2.55 ,2.60 ,2600.00 ,-999999.00 ,14000.00 ,0.11 ,-999999.00 ,1.39 ,6.93 ,-999999.00 ,2.95 ,2400.00 ,12000.00 ,12100.00 ,0.26 ,1.00 ,1.10 ,2.71 ,3.52 ,3.22 ,2700.00 ,9700.00 ,11500.00 ,0.26 ,1.03 ,1.53 ,3.04 ,2.76 ,2.20 ,2600.00 ,8500.00 ,8500.00 ,0.30 ,1.38 ,1.38 ,2.54 ,1.81 ,1.81 ,1800.00 ,-999999.00 ,6500.00 ,0.26 ,-999999.00 ,1.34 ,2.03 ,-999999.00 ,1.42 ,-13.00 
KW12HQ25SAI,12i,KINGHOME MINI SPLIT IDU 115V 60Hz 12k BTU,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW12HQ25SAO,12o,KINGHOME MINI SPLIT ODU 115V 60Hz 12k BTU,0,754.6,209847248,12.50 ,24.00 ,11.00 ,12.00 ,24.00 ,9.00 ,7.40 ,3050.00 ,12000.00 ,14000.00 ,0.22 ,1.00 ,1.40 ,4.06 ,3.52 ,2.93 ,3200.00 ,-999999.00 ,15100.00 ,0.22 ,-999999.00 ,1.32 ,6.25 ,-999999.00 ,3.35 ,3070.00 ,12000.00 ,15500.00 ,0.22 ,0.92 ,1.50 ,4.09 ,3.82 ,3.03 ,2700.00 ,10000.00 ,10900.00 ,0.26 ,1.05 ,1.42 ,3.04 ,2.79 ,2.25 ,2600.00 ,8800.00 ,8800.00 ,0.24 ,1.39 ,1.39 ,3.17 ,1.86 ,1.86 ,2000.00 ,-999999.00 ,7100.00 ,0.21 ,-999999.00 ,1.21 ,2.79 ,-999999.00 ,1.72 ,-22.00 
KW12HQ25SDI,12I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 12k BTU,1,223.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW12HQ25SDO,12O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 12k BTU,0,546.7,209847247,12.50 ,24.00 ,11.00 ,12.50 ,24.00 ,9.00 ,7.40 ,3050.00 ,12000.00 ,14000.00 ,0.22 ,0.96 ,1.40 ,4.06 ,3.66 ,2.93 ,3200.00 ,-999999.00 ,15100.00 ,0.15 ,-999999.00 ,1.32 ,6.25 ,-999999.00 ,3.35 ,3070.00 ,12000.00 ,12000.00 ,0.22 ,0.92 ,0.92 ,4.09 ,3.82 ,3.82 ,2700.00 ,10000.00 ,10900.00 ,0.26 ,1.15 ,1.42 ,3.04 ,2.55 ,2.25 ,2600.00 ,9000.00 ,9000.00 ,0.24 ,1.43 ,1.43 ,3.17 ,1.84 ,1.84 ,2000.00 ,-999999.00 ,7100.00 ,0.21 ,-999999.00 ,1.21 ,2.79 ,-999999.00 ,1.72 ,-22.00 
KW18HQ19SDI,1819I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 18k BTU,1,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW18HQ19SDO,1819O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 18k BTU,0,632.5,212396484,10.05 ,17.50 ,8.50 ,10.05 ,17.50 ,8.50 ,7.00 ,3400.00 ,17600.00 ,19960.00 ,0.22 ,1.75 ,2.15 ,4.53 ,2.95 ,2.72 ,3600.00 ,-999999.00 ,21200.00 ,0.19 ,,1.95 ,5.55 ,,3.19 ,3300.00 ,19100.00 ,22519.00 ,0.24 ,1.87 ,2.21 ,4.03 ,2.99 ,2.99 ,2900.00 ,15300.00 ,15400.00 ,0.22 ,1.72 ,2.20 ,3.86 ,2.61 ,2.05 ,2700.00 ,11800.00 ,11800.00 ,0.21 ,1.98 ,1.98 ,3.77 ,1.75 ,1.75 ,2150.00 ,,7900.00 ,0.18 ,,1.85 ,3.50 ,,1.25 ,-13.00 
KW18HQ25SDI,18I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 18k BTU,1,270.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW18HQ25SDO,18O,KINGHOME MINI SPLIT ODU 208-230V 60Hz 12k BTU,0,652.3,211151018,12.50 ,22.00 ,10.50 ,12.50 ,23.00 ,8.50 ,7.00 ,4900.00 ,18000.00 ,21154.00 ,0.24 ,1.44 ,1.90 ,5.98 ,3.66 ,3.26 ,5000.00 ,-999999.00 ,20000.00 ,0.20 ,-999999.00 ,1.70 ,7.33 ,-999999.00 ,3.45 ,4400.00 ,18000.00 ,18000.00 ,0.25 ,1.54 ,1.54 ,5.16 ,3.43 ,3.43 ,3700.00 ,14600.00 ,15500.00 ,0.21 ,1.61 ,2.20 ,5.16 ,2.66 ,2.06 ,3100.00 ,13400.00 ,13400.00 ,0.20 ,2.12 ,2.12 ,4.54 ,1.85 ,1.85 ,2700.00 ,-999999.00 ,7800.00 ,0.17 ,-999999.00 ,2.02 ,4.65 ,-999999.00 ,1.13 ,-22.00 
KW24HQ17SDI,2417I,KINGHOME MINI SPLIT IDU 208-230V 60Hz 24k BTU,1,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
